ma,cay,ma1,khoa,loai,vido,tenhc,kinhdo,matinh,tentinh,matinhxa,dansonguoi,trungtamhc,dientichkm2,truocsapnhap,area
1567,1551.1567,1453,17Châu Tiến,xã,19.6752,Châu Tiến,105.073,17,tỉnh Nghệ An,17.1453,18060,UBND xã Châu Tiến,247.16,"Xã Châu Tiến (huyện Quỳ Châu), Xã Châu Bính, Xã Châu Thắng, Xã Châu Thuận",248948166.0
1587,1551.1587,1454,17Hùng Chân,xã,19.4374,Hùng Chân,104.973,17,tỉnh Nghệ An,17.1454,12664,UBND xã Châu Phong,351.87,"Xã Châu Hoàn, Xã Châu Phong, Xã Diên Lãm",355080804.0
1563,1551.1563,1455,17Châu Bình,xã,19.4913,Châu Bình,105.2,17,tỉnh Nghệ An,17.1455,11038,UBND xã Châu Bình,130.91,Không sáp nhập,132224487.0
1569,1551.1569,1456,17Con Cuông,xã,19.0406,Con Cuông,104.849,17,tỉnh Nghệ An,17.1456,26043,UBND huyện Con Cuông,155.45,"Thị trấn Trà Lân, Xã Chi Khê, Xã Yên Khê",157512362.0
1559,1551.1559,1457,17Bình Chuẩn,xã,19.2514,Bình Chuẩn,104.93,17,tỉnh Nghệ An,17.1457,4638,UBND xã Bình Chuẩn,182.19,Không sáp nhập,184212630.0
1565,1551.1565,1458,17Châu Khê,xã,18.962,Châu Khê,104.666,17,tỉnh Nghệ An,17.1458,12210,UBND xã Châu Khê,544.31,"Xã Lạng Khê, Xã Châu Khê",550953723.0
1561,1551.1561,1459,17Cam Phục,xã,19.156,Cam Phục,104.857,17,tỉnh Nghệ An,17.1459,7412,UBND xã Đôn Phục,162.43,"Xã Cam Lâm, Xã Đôn Phục",163395528.0
1600,1551.16,1460,17Mậu Thạch,xã,19.1018,Mậu Thạch,104.961,17,tỉnh Nghệ An,17.146,13200,UBND xã Thạch Ngàn,164.26,"Xã Mậu Đức, Xã Thạch Ngàn",165733681.0
1630,1551.163,1461,17Quảng Châu,xã,19.0198,Quảng Châu,105.549,17,tỉnh Nghệ An,17.1461,37434,UBND xã Xuân Tháp và Diễn Đồng,26.40,"Xã Diễn Đồng, Xã Diễn Liên, Xã Diễn Thái, Xã Xuân Tháp",26882773.0
1601,1551.1601,1462,17Minh Châu,xã,18.9669,Minh Châu,105.546,17,tỉnh Nghệ An,17.1462,44358,UBND xã Diễn Cát và Minh Châu,39.68,"Xã Diễn Cát, Xã Diễn Nguyên, Xã Hạnh Quảng, Xã Minh Châu",39890027.0
1552,1551.1552,1463,17An Châu,xã,18.9237,An Châu,105.609,17,tỉnh Nghệ An,17.1463,43437,UBND xã Diễn Thịnh và Diễn An,34.87,"Xã Diễn An, Xã Diễn Tân, Xã Diễn Thịnh, Xã Diễn Trung",35025348.0
1649,1551.1649,1464,17Tân Châu,xã,18.9025,Tân Châu,105.564,17,tỉnh Nghệ An,17.1464,33073,đang cập nhật,64.60,"Xã Diễn Lộc, Xã Diễn Lợi, Xã Diễn Phú, Xã Diễn Thọ",64535857.0
1679,1551.1679,1465,17Yên Thành,xã,19.0015,Yên Thành,105.483,17,tỉnh Nghệ An,17.1465,47780,UBND huyện Yên Thành,38.13,"Thị trấn Hoa Thành, Xã Đông Thành, Xã Tăng Thành, Xã Văn Thành",38274986.0
1560,1551.156,1466,17Bình Minh,xã,19.108,Bình Minh,105.494,17,tỉnh Nghệ An,17.1466,37031,UBND xã Tân Thành,91.08,"Xã Đức Thành, Xã Mã Thành, Xã Tân Thành, Xã Tiến Thành",91947426.0
1579,1551.1579,1467,17Giai Lạc,xã,19.0799,Giai Lạc,105.445,17,tỉnh Nghệ An,17.1467,35783,UBND xã Hậu Thành,88.58,"Xã Hậu Thành, Xã Lăng Thành, Xã Phúc Thành",87200410.0
1631,1551.1631,1468,17Quang Đồng,xã,19.0408,Quang Đồng,105.391,17,tỉnh Nghệ An,17.1468,22364,UBND xã Kim Thành,75.61,"Xã Đồng Thành, Xã Kim Thành, Xã Quang Thành",79118502.0
1577,1551.1577,1469,17Đông Thành,xã,19.0674,Đông Thành,105.558,17,tỉnh Nghệ An,17.1469,46116,UBND xã Thọ Thành,30.20,"Xã Đô Thành, Xã Phú Thành, Xã Thọ Thành",30451976.0
1668,1551.1668,1470,17Vân Du,xã,18.9881,Vân Du,105.352,17,tỉnh Nghệ An,17.147,25868,UBND xã Thịnh Thành,84.30,"Xã Minh Thành, Xã Tây Thành, Xã Thịnh Thành",84737415.0
1629,1551.1629,1471,17Quan Thành,xã,18.9786,Quan Thành,105.436,17,tỉnh Nghệ An,17.1471,29973,UBND xã Bắc Thành,37.71,"Xã Bắc Thành, Xã Nam Thành, Xã Trung Thành, Xã Xuân Thành",37369439.0
1586,1551.1586,1472,17Hợp Minh,xã,18.9288,Hợp Minh,105.489,17,tỉnh Nghệ An,17.1472,46942,UBND xã Bảo Thành,54.75,"Xã Bảo Thành, Xã Long Thành, Xã Sơn Thành, Xã Viên Thành, Xã Vĩnh Thành",55226407.0
1671,1551.1671,1473,17Vân Tụ,xã,18.925,Vân Tụ,105.428,17,tỉnh Nghệ An,17.1473,43922,UBND xã Vân Tụ,48.73,"Xã Liên Thành, Xã Mỹ Thành, Xã Vân Tụ",49860289.0
1574,1551.1574,1474,17Đô Lương,xã,18.9029,Đô Lương,105.289,17,tỉnh Nghệ An,17.1474,61960,UBND huyện Đô Lương,50.06,"Xã Bắc Sơn, Xã Nam Sơn (huyện Đô Lương), Xã Đà Sơn, Xã Đặng Sơn, Xã Lưu Sơn, Xã Thịnh Sơn, Xã Văn Sơn, Xã Yên Sơn, Thị trấn Đô Lương",50247479.0
1557,1551.1557,1475,17Bạch Ngọc,xã,18.9514,Bạch Ngọc,105.27,17,tỉnh Nghệ An,17.1475,29021,UBND xã Bạch Ngọc và giang Sơn Tây,72.20,"Xã Bồi Sơn, Xã Giang Sơn Đông, Xã Giang Sơn Tây, Xã Bạch Ngọc",73146246.0
1599,1551.1599,1476,17Lương Sơn,xã,18.9477,Lương Sơn,105.316,17,tỉnh Nghệ An,17.1476,26494,UBND xã Tràng Sơn và Đông Sơn,47.39,"Xã Bài Sơn, Xã Đông Sơn, Xã Hồng Sơn, Xã Tràng Sơn",47688860.0
1669,1551.1669,1477,17Văn Hiến,xã,18.8946,Văn Hiến,105.372,17,tỉnh Nghệ An,17.1477,39144,UBND xã Thái Sơn và Tân Sơn,55.53,"Xã Tân Sơn (huyện Đô Lương), Xã Hòa Sơn, Xã Quang Sơn, Xã Thái Sơn, Xã Thượng Sơn",55205715.0
1660,1551.166,1478,17Thuần Trung,xã,18.8515,Thuần Trung,105.308,17,tỉnh Nghệ An,17.1478,40317,UBND xã Xuân Sơn và Minh Sơn,49.26,"Xã Minh Sơn (huyện Đô Lương), Xã Lạc Sơn, Xã Nhân Sơn, Xã Thuận Sơn, Xã Trung Sơn, Xã Xuân Sơn",49787215.0
1556,1551.1556,1479,17Bạch Hà,xã,18.8262,Bạch Hà,105.439,17,tỉnh Nghệ An,17.1479,39332,UBND xã Trù Sơn và Đại Sơn,79.28,"Xã Đại Sơn, Xã Hiến Sơn, Xã Mỹ Sơn, Xã Trù Sơn",79737912.0
1654,1551.1654,1480,17Thái Hòa,phường,19.3025,Thái Hòa,105.444,17,tỉnh Nghệ An,17.148,26916,UBND thị xã Thái Hòa,27.09,"Phường Hòa Hiếu, Phường Long Sơn, Phường Quang Phong",27103078.0
1617,1551.1617,1481,17Nghĩa Đàn,xã,19.353,Nghĩa Đàn,105.474,17,tỉnh Nghệ An,17.1481,19670,UBND huyện Nghĩa Đàn,47.32,"Thị trấn Nghĩa Đàn, Xã Nghĩa Bình, Xã Nghĩa Trung",47606593.0
1624,1551.1624,1482,17Nghĩa Mai,xã,19.4574,Nghĩa Mai,105.333,17,tỉnh Nghệ An,17.1482,17844,UBND xã Nghĩa Hồng,146.99,"Xã Nghĩa Hồng, Xã Nghĩa Minh, Xã Nghĩa Mai",148720493.0
1622,1551.1622,1483,17Nghĩa Lâm,xã,19.414,Nghĩa Lâm,105.459,17,tỉnh Nghệ An,17.1483,23753,UBND xã Nghĩa Sơn và Nghĩa Lâm,121.75,"Xã Nghĩa Lạc, Xã Nghĩa Sơn, Xã Nghĩa Yên, Xã Nghĩa Lâm",123365998.0
1625,1551.1625,1484,17Nghĩa Thọ,xã,19.3562,Nghĩa Thọ,105.54,17,tỉnh Nghệ An,17.1484,21391,"UBND xã Nghĩa Hội, Nghĩa Thọ",92.19,"Xã Nghĩa Hội, Xã Nghĩa Lợi, Xã Nghĩa Thọ",92799239.0
1620,1551.162,1485,17Nghĩa Hưng,xã,19.3362,Nghĩa Hưng,105.351,17,tỉnh Nghệ An,17.1485,25459,UBND xã Nghĩa Hưng,68.65,"Xã Nghĩa Thành, Xã Nghĩa Hưng",69141904.0
1653,1551.1653,1486,17Tây Hiếu,phường,19.2949,Tây Hiếu,105.394,17,tỉnh Nghệ An,17.1486,24698,UBND phường Quang Tiến,43.96,"Phường Quang Tiến, Xã Nghĩa Tiến, Xã Tây Hiếu",44635645.0
1575,1551.1575,1487,17Đông Hiếu,xã,19.2782,Đông Hiếu,105.488,17,tỉnh Nghệ An,17.1487,28634,UBND xã Đông Hiếu,63.87,"Xã Nghĩa Mỹ, Xã Nghĩa Thuận, Xã Đông Hiếu",64262660.0
1621,1551.1621,1488,17Nghĩa Khánh,xã,19.2359,Nghĩa Khánh,105.369,17,tỉnh Nghệ An,17.1488,25653,UBND xã Nghĩa Khánh,77.72,"Xã Nghĩa An, Xã Nghĩa Đức, Xã Nghĩa Khánh",78440214.0
1623,1551.1623,1489,17Nghĩa Lộc,xã,19.2209,Nghĩa Lộc,105.456,17,tỉnh Nghệ An,17.1489,25007,"UBND xã Nghĩa Long, Nghĩa Lộc",62.93,"Xã Nghĩa Long, Xã Nghĩa Lộc",63360967.0
1634,1551.1634,1490,17Quỳ Hợp,xã,19.3126,Quỳ Hợp,105.185,17,tỉnh Nghệ An,17.149,36929,UBND huyện Quỳ Hợp,90.07,"Thị trấn Quỳ Hợp, Xã Châu Đình, Xã Châu Quang, Xã Thọ Hợp",90399611.0
1645,1551.1645,1491,17Tam Hợp,xã,19.3998,Tam Hợp,105.271,17,tỉnh Nghệ An,17.1491,42628,UBND xã Tam Hợp,135.97,"Xã Tam Hợp (huyện Quỳ Hợp), Xã Đồng Hợp, Xã Nghĩa Xuân, Xã Yên Hợp",136972094.0
1564,1551.1564,1492,17Châu Hồng,xã,19.4049,Châu Hồng,105.08,17,tỉnh Nghệ An,17.1492,11809,UBND xã Châu Hồng,134.05,"Xã Châu Tiến (huyện Quỳ Hợp), Xã Châu Thành, Xã Châu Hồng",135491659.0
1566,1551.1566,1493,17Châu Lộc,xã,19.3855,Châu Lộc,105.19,17,tỉnh Nghệ An,17.1493,7234,UBND xã Châu Lộc,85.69,"Xã Liên Hợp, Xã Châu Lộc",86176671.0
1605,1551.1605,1494,17Mường Ham,xã,19.3146,Mường Ham,105.072,17,tỉnh Nghệ An,17.1494,14257,UBND xã Châu Thái,160.35,"Xã Châu Cường, Xã Châu Thái",161480109.0
1602,1551.1602,1495,17Minh Hợp,xã,19.266,Minh Hợp,105.26,17,tỉnh Nghệ An,17.1495,21276,UBND xã Minh Hợp,159.97,"Xã Hạ Sơn, Xã Văn Lợi, Xã Minh Hợp",162698959.0
1604,1551.1604,1496,17Mường Chọng,xã,19.2161,Mường Chọng,105.076,17,tỉnh Nghệ An,17.1496,11291,đang cập nhật,173.65,"Xã Bắc Sơn, Xã Nam Sơn (huyện Quỳ Hợp), Xã Châu Lý",176610824.0
1636,1551.1636,1497,17Quỳnh Lưu,xã,19.1326,Quỳnh Lưu,105.636,17,tỉnh Nghệ An,17.1497,73584,UBND huyện Quỳnh Lưu,40.55,"Thị trấn Cầu Giát, Xã Bình Sơn (huyện Quỳnh Lưu), Xã Quỳnh Diễn, Xã Quỳnh Giang, Xã Quỳnh Hậu",38999442.0
1641,1551.1641,1498,17Quỳnh Thắng,xã,19.3042,Quỳnh Thắng,105.595,17,tỉnh Nghệ An,17.1498,15313,UBND xã Quỳnh Thắng và Tân Thắng,107.99,"Xã Tân Thắng, Xã Quỳnh Thắng",108954511.0
1585,1551.1585,1499,17Hoàng Mai,phường,19.2863,Hoàng Mai,105.672,17,tỉnh Nghệ An,17.1499,44474,UBND phường Quỳnh Thiện,79.67,"Phường Quỳnh Thiện, Xã Quỳnh Trang, Xã Quỳnh Vinh",80447936.0
1651,1551.1651,1500,17Tân Mai,phường,19.2706,Tân Mai,105.754,17,tỉnh Nghệ An,17.15,33894,UBND thị xã Hoàng Mai,51.61,"Phường Quỳnh Dị, Xã Quỳnh Lập, Xã Quỳnh Lộc",51344242.0
1642,1551.1642,1501,17Quỳnh Văn,xã,19.2155,Quỳnh Văn,105.645,17,tỉnh Nghệ An,17.1501,42927,UBND Quỳnh Văn và Quỳnh Thạch,53.35,"Xã Quỳnh Tân, Xã Quỳnh Thạch, Xã Quỳnh Văn",53489877.0
1640,1551.164,1502,17Quỳnh Tam,xã,19.2017,Quỳnh Tam,105.52,17,tỉnh Nghệ An,17.1502,35568,UBND xã Quỳnh Châu và Quỳnh Tam,103.40,"Xã Tân Sơn (huyện Quỳnh Lưu), Xã Quỳnh Châu, Xã Quỳnh Tam",104078930.0
1637,1551.1637,1503,17Quỳnh Mai,phường,19.2211,Quỳnh Mai,105.705,17,tỉnh Nghệ An,17.1503,57988,UBND phường Mai Hùng,40.50,"Phường Mai Hùng, Phường Quỳnh Phương, Phường Quỳnh Xuân, Xã Quỳnh Liên",40510827.0
1639,1551.1639,1504,17Quỳnh Sơn,xã,19.1737,Quỳnh Sơn,105.598,17,tỉnh Nghệ An,17.1504,36834,UBND xã Quỳnh Sơn và Quỳnh Lâm,61.21,"Xã Ngọc Sơn (huyện Quỳnh Lưu), Xã Quỳnh Lâm, Xã Quỳnh Sơn",63374958.0
1635,1551.1635,1505,17Quỳnh Anh,xã,19.1587,Quỳnh Anh,105.699,17,tỉnh Nghệ An,17.1505,60329,UBND xã Minh Lương và Quỳnh Bảng,39.80,"Xã Minh Lương, Xã Quỳnh Bảng, Xã Quỳnh Đôi, Xã Quỳnh Thanh, Xã Quỳnh Yên",40243341.0
1638,1551.1638,1506,17Quỳnh Phú,xã,19.111,Quỳnh Phú,105.694,17,tỉnh Nghệ An,17.1506,72062,UBND xã Văn Hải và Phú Nghĩa,33.48,"Xã An Hòa, Xã Phú Nghĩa, Xã Thuận Long, Xã Văn Hải",32947153.0
1632,1551.1632,1507,17Quế Phong,xã,19.6405,Quế Phong,104.844,17,tỉnh Nghệ An,17.1507,22834,UBND huyện Quế Phong,276.57,"Thị trấn Kim Sơn, Xã Châu Kim, Xã Mường Nọc, Xã Nậm Giải",268916710.0
1659,1551.1659,1508,17Thông Thụ,xã,19.8569,Thông Thụ,104.996,17,tỉnh Nghệ An,17.1508,8481,UBND xã Đồng Văn,706.75,"Xã Đồng Văn (huyện Quế Phong), Xã Thông Thụ",714806924.0
1662,1551.1662,1509,17Tiền Phong,xã,19.6918,Tiền Phong,104.92,17,tỉnh Nghệ An,17.1509,14494,UBND xã Tiền Phong,319.02,"Xã Hạnh Dịch, Xã Tiền Phong",326691513.0
1663,1551.1663,1510,17Tri Lễ,xã,19.6069,Tri Lễ,104.716,17,tỉnh Nghệ An,17.151,14432,UBND xã Tri Lễ,243.95,"Xã Nậm Nhoóng, Xã Tri Lễ",260836442.0
1607,1551.1607,1511,17Mường Quàng,xã,19.4891,Mường Quàng,104.851,17,tỉnh Nghệ An,17.1511,17917,UBND xã Châu Thôn và Cắm Muộn,342.15,"Xã Cắm Muộn, Xã Châu Thôn, Xã Quang Phong",333681961.0
